jmeno;skupinka;spani;ucast;jenMisto
Matka nevěsty;Rodina nevěsty;?;ano;
Otec nevěsty;Rodina nevěsty;ano;ano;
Sestra nevěsty;Rodina nevěsty;ano;ano;
Babička nevěsty;Rodina nevěsty;?;nejista;
Matka ženicha;Rodina ženicha;?;ano;
Otec ženicha;Rodina ženicha;?;ano;
Bratr ženicha;Rodina ženicha;ano;ano;
Svědek;Přátelé;ano;ano;
Svědkyně;Přátelé;ano;ano;
Kamarád 1;Přátelé;ano;ano;
Kamarádka 1;Přátelé;ne;ano;
Spolužák 1;Spolužáci;?;nejista;
Spolužačka 1;Spolužáci;?;ne;
Kolega 1;Kolegové;?;ano;
Kolegyně 1;Kolegové;?;ano;
Dítě 1;Děti;ano;ano;
Dítě 2;Děti;ano;ano;
Nevěsta;Novomanželé;ano;ano;
Ženich;Novomanželé;ano;ano;
Oddávající;Obřad a služby;ne;ano;1
Fotograf;Obřad a služby;ne;ano;1
